"Roster View "
"STAAR 3-8,ZY CRUSE ISD,Grade 5,May 2016,2016"

"Last Name","First Name","Reading - Raw Score","Reading - Scale Score","Reading - Performance Level"
"TWOT","T","5","1185","Unsatisfactory",
"TWOU","U","O","O","O",
"TWOV","V","5","1185","Unsatisfactory",
"TWOW","W","O","O","O",
"TWOX","X","5","1185","Unsatisfactory",
"TWOY","Y","*","*","*",
"TWOZ","Z","*","*","*",
"TWOZA","ZA","O","O","O",
"TWOZB","ZB","5","1185","Unsatisfactory",
"TWOZC","ZC","O","O","O",
"TWOZD","ZD","O","O","O",
"TWOZE","ZE","*","*","*",
"TWOZF","ZF","5","1185","Unsatisfactory",
"TWOZG","ZG","A","A","A",
"TWOZH","ZH","A","A","A",
"TWOZI","ZI","O","O","O",
"TWOZJ","ZJ","O","O","O",
"TWOZK","ZK","O","O","O",
"TWOZL","ZL","5","1185","Unsatisfactory",
"TWOZR","ZR","O","O","O",
"TWOZS","ZS","O","O","O",
"TWOZU","FIVERM","O","O","O",
"TWOZV","ZV","A","A","A",
"UUUUUUUUUUUUUUU","UUUUUUUUUU","11","1281","Unsatisfactory",
"UUUUUUUUUUUUUUU","UUUUUUUUUU","5","1145","Unsatisfactory",
"VVVVVVVVVVVVVVV","VVVVVVVVVV","6","1174","Unsatisfactory",
"VVVVVVVVVVVVVVV","VVVVVVVVVV","10","1263","Unsatisfactory",
"WWWWWWWWWWWWWWW","WWWWWWWWWW","6","1174","Unsatisfactory",
"WWWWWWWWWWWWWWW","WWWWWWWWWW","9","1244","Unsatisfactory",
"XXXXXXXXXXXXXXX","XXXXXXXXXX","7","1200","Unsatisfactory",
"XXXXXXXXXXXXXXX","XXXXXXXXXX","8","1223","Unsatisfactory",
"YYYYYYYYYYYYYYY","YYYYYYYYYY","7","1200","Unsatisfactory",
"ZZZZZZZZZZZZZZZ","ZZZZZZZZZZ","9","1244","Unsatisfactory"
